Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
BIOE,201,14,50,16,12,6,2,0,0,1,0,0,0,0,0
BIOE,298,4,25,27,13,19,7,6,2,3,1,1,0,1,0
BIOE,398,7,10,8,1,2,0,0,0,0,0,0,0,0,0
BIOE,498,48,143,23,7,4,0,0,0,0,0,0,0,1,0
BIOP,401,26,35,22,10,5,1,1,0,0,0,0,0,0,0
BTW,250,340,4847,3341,1734,1175,336,142,155,89,14,41,15,118,20
BTW,261,42,636,113,62,176,27,9,24,10,1,6,3,12,2
BUS,101,382,5686,1013,441,272,92,42,43,11,8,11,7,27,13
BUS,199,37,60,20,12,3,1,0,0,0,0,1,0,0,0
BUS,201,352,1471,226,87,46,10,6,2,1,6,3,2,8,0
BUS,301,44,610,61,22,16,5,2,0,0,0,2,0,0,0
BUS,401,0,483,25,11,14,2,2,0,1,0,0,0,1,0
CEE,195,0,40,31,14,9,4,2,3,1,0,0,1,3,0
CEE,198,16,23,23,13,9,2,2,2,2,0,0,0,1,0
CEE,201,85,36,32,33,19,10,2,5,7,3,2,1,8,0
CEE,202,13,17,12,8,7,8,2,1,0,0,0,0,0,0
CEE,300,1,10,13,11,25,24,20,15,2,2,3,4,2,0
CEE,320,20,60,34,22,12,8,4,3,1,0,0,1,0,0
CEE,330,19,41,47,42,26,19,16,13,0,0,1,0,0,0
CEE,360,15,27,17,8,5,1,2,6,0,1,2,0,3,0
CEE,380,16,27,43,26,45,61,20,27,7,6,4,0,5,0
CEE,420,2,50,48,46,28,19,9,3,2,2,2,2,0,0
CEE,421,18,84,40,36,21,6,7,4,2,2,0,1,2,0
CEE,422,6,66,7,36,17,8,2,2,2,0,0,0,2,1
CEE,460,12,25,12,6,1,1,4,0,0,0,0,0,1,0
CEE,461,1,8,8,4,7,9,5,2,3,0,3,0,1,0
CEE,463,0,21,15,10,2,3,1,1,0,0,0,0,0,0
CEE,470,18,21,17,20,14,13,18,10,5,3,2,0,10,1
CEE,471,5,1,6,10,12,8,4,3,2,0,0,0,0,0
CEE,472,10,16,4,9,6,3,0,1,0,0,0,0,0,0
CEE,498,71,305,134,58,45,18,5,5,2,2,1,0,3,0
CEE,598,35,114,100,65,26,14,2,1,0,0,0,0,2,2
CHBE,221,7,57,31,40,62,41,59,57,34,6,23,0,14,7
CHBE,431,5,23,25,22,51,16,23,18,8,4,1,0,1,0
CHBE,494,11,87,32,19,86,28,6,29,7,0,4,0,1,1
CHEM,101,124,1181,582,1031,1304,974,829,915,481,263,250,162,416,62
CHEM,102,775,3123,2249,3517,5099,4041,4622,5025,3170,1703,1539,1082,1233,344
CHEM,103,3308,11643,3583,2562,2051,918,683,564,256,183,187,98,561,92
CHEM,104,846,1979,1620,2018,2968,2013,2145,2636,1850,672,648,455,389,155
CHEM,105,1386,6930,1888,1344,1343,583,504,347,152,72,131,40,192,34
CHEM,150,40,19,4,2,2,0,0,0,0,0,0,0,0,0
CHEM,199,857,4377,158,59,86,35,9,24,10,2,13,5,35,28
CHEM,203,137,524,430,479,649,288,142,225,84,30,35,21,81,15
CHEM,205,69,349,245,290,360,153,130,137,75,21,34,24,49,12
CHEM,232,568,1534,1134,1239,2239,1446,1344,1638,781,513,512,137,312,146
CHEM,233,1276,2871,2327,1730,1918,854,568,465,180,59,43,25,80,38
CHEM,236,1,44,3,11,57,2,7,61,1,0,13,2,9,2
CHEM,237,66,323,219,203,470,229,166,294,102,15,40,10,18,14
CHEM,332,165,329,234,232,322,215,167,182,131,104,92,27,75,11
CHEM,360,4,57,36,35,60,41,18,50,20,0,4,0,1,0
CHEM,420,2,28,18,14,17,15,15,15,11,0,0,0,1,0
CHEM,440,46,216,144,150,172,123,58,35,15,1,11,0,11,4
CHEM,442,104,305,210,155,183,109,47,47,33,7,13,5,23,4
CHEM,492,0,48,4,6,8,3,1,0,0,0,0,0,1,0
CHLH,100,1087,2064,1350,795,787,344,230,191,95,67,63,34,204,21
CHLH,101,780,3069,1645,1054,1384,497,300,372,146,55,107,30,185,17
CHLH,111,0,70,0,0,4,0,0,1,0,0,1,0,0,0
CHLH,199,91,485,96,64,44,21,6,10,5,0,5,1,5,3
CHLH,200,2,61,42,9,18,12,3,2,2,1,1,1,3,0
CHLH,206,642,5512,2242,1121,1864,690,370,512,192,92,193,64,356,28
CHLH,243,6945,5082,1369,883,1357,446,270,467,138,104,126,43,307,35
CHLH,244,0,32,41,31,21,25,18,18,12,6,5,9,5,2
CHLH,250,15,51,7,2,10,0,0,5,0,0,0,0,0,0
CHLH,260,388,1631,319,153,309,66,37,71,21,4,23,2,46,6
CHLH,274,568,625,546,304,233,187,81,79,51,26,49,23,178,14
CHLH,304,350,378,222,102,74,37,29,11,7,4,1,4,26,5
CHLH,410,0,18,0,0,6,0,0,0,0,0,0,0,0,0
CHLH,421,99,242,171,69,124,45,26,29,12,7,7,5,8,1
CHLH,456,42,74,22,13,6,4,3,4,0,1,1,0,3,0
CHLH,469,11,44,35,14,3,3,1,1,0,0,0,0,1,0
CHLH,594,0,32,10,6,0,0,0,0,0,0,0,0,0,0
CHP,199,163,171,25,9,12,2,1,2,0,0,0,0,2,1
CI,335,7,337,16,9,42,0,0,0,1,0,0,0,0,2
CI,401,73,138,31,15,15,3,4,4,2,0,0,0,3,0
CI,402,3,24,13,2,1,1,0,0,0,0,0,0,0,0
CI,403,57,141,11,4,14,2,1,3,1,0,0,0,3,0
CI,404,31,55,7,2,4,0,0,1,0,0,0,0,0,0
CI,405,53,461,136,49,42,13,10,5,3,0,0,1,4,0
CI,406,26,342,122,50,8,10,11,4,3,0,0,0,1,0
CI,407,9,345,88,37,16,5,5,2,1,0,1,0,0,1
CI,415,79,415,85,30,29,12,6,4,2,1,2,0,4,0
CI,430,150,357,93,80,64,21,6,7,1,0,1,0,1,0
CI,432,148,361,116,33,9,1,1,0,1,0,0,0,0,0
CI,433,0,51,11,3,4,1,1,1,0,0,0,0,0,0
CI,446,0,26,1,0,0,0,0,0,0,0,0,0,1,0
CI,447,11,105,2,4,1,0,0,1,0,0,0,0,1,0
CI,448,91,226,44,10,12,5,1,4,0,0,1,0,0,0
CI,450,10,341,125,46,50,14,4,2,1,0,1,0,2,0
CI,451,5,221,35,7,9,0,4,1,1,0,0,0,0,0
CI,452,9,85,13,8,2,1,0,0,0,0,0,0,0,0
CI,467,14,326,80,42,46,14,9,3,1,0,0,0,1,2
CI,473,201,422,49,5,15,0,0,2,0,0,0,0,1,0
CI,475,100,486,191,58,40,18,6,6,0,0,1,0,2,0
CI,476,35,409,136,28,26,7,5,5,3,0,0,0,0,0
CI,550,5,26,6,1,2,0,0,0,0,0,1,0,0,0
CLCV,102,798,152,83,42,38,30,17,10,13,5,7,0,31,2
CLCV,114,10,22,11,8,7,10,3,6,3,1,2,0,5,1
CLCV,115,708,5565,724,547,2094,215,160,500,45,39,71,37,216,18
CLCV,120,2,25,12,2,7,0,0,0,0,0,0,0,0,0
CLCV,220,11,28,12,12,13,4,4,2,1,0,0,2,4,0
CLCV,224,333,1101,29,11,90,6,15,21,2,1,2,1,20,2
CMN,101,223,2006,1733,955,1228,463,210,178,105,53,48,22,181,37
CMN,102,116,95,67,31,54,21,12,20,6,4,8,3,24,2
CMN,111,15,740,259,150,115,89,24,27,22,4,2,1,25,1
CMN,112,0,484,203,107,76,25,12,10,10,1,1,0,6,1
CMN,113,21,63,46,47,50,31,9,3,1,2,1,1,3,2
CMN,199,0,22,0,0,0,0,0,0,0,0,0,0,3,1
CMN,210,0,46,5,1,3,0,1,0,0,1,1,0,1,0
CMN,211,38,506,213,115,90,56,26,24,29,4,13,13,24,5
CMN,212,152,352,206,153,191,93,47,56,33,9,11,8,18,1
CMN,213,128,184,94,52,38,21,9,7,4,1,3,1,4,1
CMN,214,14,7,13,15,14,7,12,3,14,3,0,1,6,0
CMN,220,12,350,90,54,66,35,18,12,17,6,6,7,23,1
CMN,230,22,37,26,15,14,12,7,6,1,1,2,0,0,1
CMN,232,31,440,147,86,102,48,27,47,18,4,9,2,16,3
CMN,250,87,83,21,13,19,7,4,1,6,1,0,0,5,1
CMN,260,126,508,473,265,382,252,108,134,64,13,26,24,49,13
CMN,275,12,51,33,25,30,22,12,18,0,5,1,1,7,3
CMN,277,10,37,23,14,9,3,4,7,2,1,1,3,2,0
CMN,321,0,15,14,12,10,6,5,0,2,0,1,0,2,0
CMN,323,20,172,161,64,59,29,7,9,4,0,0,0,4,2
CMN,326,73,129,82,90,69,66,47,23,23,21,6,3,8,3
CMN,336,206,514,284,219,244,156,95,76,53,29,28,13,64,13
CMN,338,1,5,11,4,3,9,7,6,4,3,2,2,3,0
CMN,340,161,407,177,112,153,82,27,41,19,5,9,7,22,4
CMN,345,0,61,24,19,17,6,2,4,2,1,1,0,0,0
CMN,377,8,135,66,82,77,50,28,29,11,5,4,1,4,3
CMN,396,163,538,424,349,439,226,167,154,102,53,50,26,59,11
CMN,429,15,52,23,29,14,39,19,18,6,2,9,3,0,4
CMN,432,141,113,14,14,2,0,1,0,0,0,0,0,0,0
CMN,435,68,244,161,91,89,22,10,13,8,3,7,2,5,1
