Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
ACCY,301,62,105,86,73,58,46,31,17,7,4,2,0,4,1,"Anderson, Spencer B"
ACCY,301,1,6,9,4,2,1,0,0,0,0,0,0,0,0,"White, Brian J"
ACCY,301,1,3,23,22,31,17,2,5,1,0,0,0,0,0,"Brown, Clifton E"
ACCY,301,64,124,79,69,80,45,24,14,9,6,5,5,7,2,"Davis, Gregory L"
ACCY,301,4,37,42,46,20,24,0,7,0,2,1,0,0,0,"Gong, Jianxin"
ACCY,301,18,29,16,16,10,5,10,5,3,0,1,0,0,0,"Johnson, Jennifer A"
ACCY,301,19,24,30,22,20,13,9,4,1,2,1,0,2,0,"Mendoza, Kimberly"
ACCY,301,10,1,2,6,4,1,1,0,0,0,1,0,1,1,"Alt, Amanda J"
ACCY,301,5,22,12,9,9,6,5,1,2,3,0,0,0,1,"Pachera, Susan"
ACCY,301,5,67,89,107,71,33,13,7,1,0,0,0,0,3,"Finnegan, Thomas"
ACCY,301,36,87,126,89,48,30,16,6,2,1,0,4,0,0,"Rennekamp, Kristina M"
ACCY,301,9,42,64,69,50,46,19,6,3,2,0,0,6,0,"Sougiannis, Theodore"
ACCY,301,2,10,16,4,14,8,0,0,0,0,0,0,0,0,"Yoon, Ha Young"
ACCY,301,18,40,24,28,30,4,8,0,2,0,0,0,0,0,"Chen, Po-Chang"
ACCY,301,17,129,132,79,151,24,15,22,8,8,3,0,2,2,"Jackson, Kevin"
ACCY,301,19,105,116,99,90,48,14,17,7,1,1,0,1,2,"Wang, Zhiguang"
ACCY,301,17,58,137,114,74,35,14,10,5,0,1,0,4,0,"Zhou, Hailan"
ACCY,301,3,16,20,21,14,8,3,8,0,1,0,0,1,0,"Jang, Hansol"
ACCY,301,21,64,37,37,46,15,13,11,5,1,2,1,1,1,"Winn, Amanda M"
ACCY,301,8,28,47,42,33,23,6,2,1,0,1,0,2,0,"Asante Appiah, Bright"
ACCY,301,8,11,18,20,18,12,0,0,0,0,0,0,0,1,"He, Shuoyuan"
ACCY,301,4,17,16,25,1,4,2,4,2,0,2,1,0,0,"Li, Wei"
ACCY,301,7,24,27,16,33,12,6,1,0,1,1,0,0,0,"Mendoza, Scott A"
ACCY,302,1,6,8,6,5,3,2,1,0,0,0,0,0,0,"Zhang, Li"
ACCY,302,45,147,125,170,209,121,24,3,5,0,0,0,1,1,"Chen, Xiaoling"
ACCY,302,3,40,12,39,35,10,6,7,0,0,0,1,0,0,"Drnevich, Dawn J"
ACCY,302,42,31,80,70,41,31,13,2,7,0,1,1,1,1,"Wu, Martin G"
ACCY,302,2,6,10,9,5,4,0,0,1,0,0,0,0,0,"Krische, Susan D"
ACCY,302,0,9,25,20,12,6,3,0,0,0,0,0,0,0,"Davis, Gregory L"
ACCY,302,5,97,172,168,108,51,37,11,8,3,1,1,2,1,"Fanning, Kirsten B"
ACCY,302,1,5,5,10,7,1,2,0,0,0,0,0,0,1,"Garza, Brent A"
ACCY,302,27,47,40,18,14,8,7,1,1,1,0,1,2,0,"Sani, Jalal"
ACCY,302,0,31,14,12,14,1,2,1,1,0,0,0,0,0,"Herbold, T J"
ACCY,302,7,23,21,30,39,21,6,0,0,0,0,0,0,0,"Turner, Cynthia W"
ACCY,302,8,82,117,100,107,53,12,11,7,2,1,1,1,3,"Autrey, Romana L"
ACCY,302,3,43,29,45,39,8,12,2,0,2,0,0,1,0,"Farrell, Anne M"
ACCY,302,1,16,21,18,27,10,3,2,0,0,1,0,0,0,"Black, William H"
ACCY,302,1,86,147,137,110,41,19,6,4,3,2,1,0,1,"Finnegan, Thomas"
ACCY,302,26,32,36,22,14,10,10,4,0,0,0,0,0,2,"Wu, Yu-Ching"
ACCY,302,31,56,60,59,63,37,19,5,1,0,0,1,2,0,"Samet, Jordan A"
ACCY,302,4,8,16,12,4,2,0,8,0,0,0,0,0,0,"Hudgins, Ryan M"
ACCY,302,7,43,24,38,27,11,6,1,0,0,0,0,0,0,"Sandretto, Michael J"
ACCY,302,1,9,12,9,4,0,1,0,0,0,0,0,0,0,"Wang, Jundong"
ACCY,302,2,7,16,4,6,6,5,0,0,0,1,0,0,0,"Shin, Jae Yong"
ACCY,302,0,6,3,3,9,0,1,0,0,0,1,0,0,0,"Chatterton, Angel"
ACCY,302,4,5,8,8,4,1,0,0,0,0,0,0,0,0,"Zhang, Zheng"
ACCY,302,45,153,173,113,70,46,19,12,8,4,5,1,3,1,"Curtis, Susan M"
ACCY,303,122,232,118,89,82,64,42,27,22,6,4,16,6,0,"Schwartz, Rachel"
ACCY,303,25,64,43,17,4,5,1,0,0,0,0,0,0,1,"Wang, Jundong"
ACCY,303,6,18,44,11,5,2,1,0,0,0,0,0,0,0,"Elliott, W B"
ACCY,303,3,20,17,14,24,8,2,0,2,0,1,0,0,0,"Li, Siyi"
ACCY,303,29,151,158,106,126,58,19,23,5,4,2,4,2,0,"Brown, Timothy J"
ACCY,303,12,15,10,5,2,0,0,0,0,0,0,0,0,0,"Keshk, Walied E"
ACCY,303,53,39,20,26,13,7,10,6,7,5,3,1,3,0,"Pachera, Susan"
ACCY,303,1,16,8,12,5,6,1,1,0,0,1,0,2,0,"Ibrahim, Adel Nematallah"
ACCY,303,35,72,62,80,50,28,21,13,4,0,2,1,2,5,"Li, Yue"
ACCY,303,0,13,9,13,11,8,0,4,0,0,0,0,0,0,"Polinski, Paul W"
ACCY,303,114,60,50,44,49,27,23,14,8,10,4,5,8,2,"Godsell, David"
ACCY,303,1,2,9,9,5,0,2,1,0,0,0,0,0,0,"Stern, Matthew T"
ACCY,303,16,108,28,18,32,18,8,9,7,3,4,3,7,1,"Hamm, Brian K"
ACCY,303,57,86,107,88,84,38,43,16,19,12,6,10,1,3,"Zhu, Wei"
ACCY,303,6,28,18,20,8,2,0,0,0,0,0,0,0,0,"Arikan, Ozlem"
ACCY,303,37,182,248,326,133,73,28,22,15,6,7,11,3,3,"Li, Wei"
ACCY,303,19,47,16,16,12,13,7,10,5,3,1,1,0,0,"Mendoza, Scott A"
ACCY,303,1,7,10,4,6,3,2,0,0,0,0,0,0,0,"Sandretto, Michael J"
ACCY,304,9,17,12,13,17,5,0,7,1,0,0,0,0,0,"Dahle, Andrew J"
ACCY,304,4,25,35,29,54,27,12,2,2,1,0,0,1,0,"Smith, Steven"
ACCY,304,1,12,21,14,19,7,2,2,0,0,0,0,0,0,"Black, William H"
ACCY,304,0,4,8,12,6,4,0,0,0,0,0,0,0,0,"Estep, Cassandra R"
ACCY,304,0,112,57,41,61,20,5,9,7,0,0,1,1,1,"Williamson, Michael"
ACCY,304,1,181,119,121,120,46,25,23,4,2,7,2,4,0,"Wang, Wei"
ACCY,304,0,22,58,54,20,2,0,0,2,0,0,0,2,0,"Leiby, Justin"
ACCY,304,12,17,5,1,0,0,0,0,0,0,0,0,0,0,"Feller, Anita L"
ACCY,304,10,23,21,6,8,1,1,3,0,0,0,0,2,0,"Zhang, Zheng"
ACCY,304,82,236,257,220,154,86,35,9,8,0,0,2,2,1,"Wu, Martin G"
ACCY,304,8,74,99,155,67,17,6,13,2,2,3,0,2,0,"Vance, Thomas W"
