Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average GPA,Median Grade,Standard Deviation
FSHN,420,48,32,0,6,10,0,4,6,0,0,2,0,0,0,3.64,A,0.69
FSHN,460,3,73,8,9,10,0,2,5,0,0,0,0,0,0,3.71,A,0.53
FSHN,471,1,21,0,0,3,0,0,0,0,0,0,0,0,0,3.88,A,0.32
FSHN,482,10,26,4,4,1,0,0,0,0,0,0,0,0,0,3.89,A,0.24
FSHN,595,28,87,10,7,5,1,1,1,0,0,0,0,0,0,3.87,A,0.33
GCL,200,2,26,3,5,6,2,1,2,0,1,1,0,0,0,3.5,A,0.74
GE,312,15,33,12,18,22,4,13,10,0,0,0,0,3,1,3.25,B+,0.67
GE,331,0,1,1,0,3,5,1,5,2,0,4,0,3,1,1.99,C,0.81
GEOG,101,150,509,738,482,372,215,115,88,40,21,17,13,51,7,3.27,B+,0.65
GEOG,379,21,28,26,7,9,7,5,4,2,1,0,3,6,2,3.25,A-,0.79
GEOL,100,211,341,354,359,243,263,139,96,67,44,30,20,59,7,3.08,B+,0.78
GEOL,103,1,14,18,6,11,5,0,3,3,0,1,0,1,0,3.24,A-,0.71
GEOL,107,71,83,41,41,43,27,23,25,4,7,10,3,7,1,3.21,A-,0.84
GEOL,117,32,26,24,18,15,9,5,8,1,1,0,1,11,1,3.18,A-,0.7
GEOL,118,19,69,56,46,57,30,14,21,12,7,9,5,15,2,2.99,B+,0.84
GEOL,143,13,13,5,2,5,5,0,0,0,0,1,0,1,0,3.52,A,0.62
GER,101,44,106,65,39,38,22,12,15,7,2,3,3,12,0,3.31,A-,0.72
GER,102,19,62,54,49,31,28,16,9,9,2,1,0,5,5,3.25,B+,0.67
GER,103,20,91,43,42,52,23,25,16,16,5,12,1,10,0,3.08,B+,0.84
GER,250,13,42,25,16,7,0,2,3,0,0,0,0,1,0,3.64,A,0.46
GER,251,132,605,173,71,99,26,16,30,19,4,12,2,27,7,3.56,A,0.63
GLBL,100,374,736,350,178,145,36,29,32,19,11,20,12,65,0,3.51,A,0.63
GLBL,296,148,508,190,96,62,18,20,17,7,3,10,5,29,2,3.58,A,0.59
GS,101,3496,8991,1645,913,994,576,360,431,256,112,154,132,564,33,3.55,A,0.67
GS,102,39,133,35,25,29,13,6,7,7,7,4,6,19,0,3.27,A,0.83
GS,198,213,157,12,2,8,3,2,1,0,0,1,0,2,0,3.92,A+,0.28
GS,199,1,147,11,3,6,2,1,3,1,0,1,3,11,0,3.57,A,0.63
GWS,100,104,612,382,279,398,190,112,138,62,25,34,29,91,8,3.1,B+,0.79
GWS,202,149,170,125,70,78,31,17,16,5,3,9,4,25,5,3.39,A-,0.67
GWS,275,238,103,43,25,41,18,4,15,7,2,4,3,23,2,3.49,A,0.66
HDFS,101,93,81,23,12,16,9,6,6,3,2,5,0,9,0,3.51,A,0.69
HDFS,105,1045,900,233,149,235,57,51,71,16,13,16,3,32,2,3.66,A,0.58
HDFS,120,2,258,92,79,84,26,24,31,8,3,6,1,15,1,3.35,A-,0.69
HIST,100,334,1071,512,331,400,158,112,124,45,23,27,10,66,9,3.38,A-,0.69
HIST,101,0,12,8,7,9,0,0,0,0,0,0,0,2,0,3.36,A-,0.42
HIST,102,2,4,4,5,3,2,1,0,0,0,0,0,0,0,3.43,B+,0.5
HIST,103,38,120,77,43,30,21,9,3,3,1,0,1,5,0,3.53,A-,0.55
HIST,104,117,345,111,36,21,10,5,12,2,3,4,0,10,1,3.72,A,0.49
HIST,110,5,34,58,58,41,16,7,4,2,0,2,0,2,0,3.31,B+,0.54
HIST,120,160,441,254,181,176,86,52,74,41,21,20,11,62,2,3.22,A-,0.78
HIST,141,32,173,146,166,241,106,73,73,44,12,16,4,38,4,2.97,B,0.74
HIST,142,23,112,99,104,103,59,25,26,16,3,3,1,17,0,3.15,B+,0.66
HIST,171,98,305,240,190,228,78,31,32,19,6,13,8,40,6,3.27,B+,0.67
HIST,172,102,441,410,327,345,148,64,75,28,13,18,9,33,5,3.27,B+,0.66
HIST,200,11,64,44,28,19,8,3,4,1,1,0,0,4,0,3.48,A-,0.53
HIST,236,7,109,146,50,21,11,3,3,1,1,0,0,8,1,3.54,A-,0.42
HIST,252,4,53,61,50,57,19,9,4,2,1,0,0,4,1,3.31,B+,0.53
HIST,258,2,11,1,1,3,1,0,2,0,0,0,0,4,0,2.99,A,0.8
HIST,259,0,9,5,6,3,1,2,0,0,0,1,1,2,1,3.08,B+,0.84
HIST,272,2,10,20,18,23,18,10,8,2,4,2,0,1,1,2.95,B,0.71
HIST,274,2,27,35,32,47,17,7,6,2,2,3,0,2,2,3.16,B+,0.64
HIST,278,18,44,36,8,16,6,4,6,2,0,2,0,0,2,3.5,A-,0.67
HIST,279,1,7,16,11,8,3,2,2,0,0,0,0,0,0,3.36,B+,0.51
HIST,281,20,189,80,45,40,22,7,14,6,0,4,0,17,1,3.42,A-,0.63
HIST,283,7,27,25,8,15,9,2,4,1,0,0,0,3,0,3.34,A-,0.59
HIST,300,0,2,4,3,1,6,1,0,3,1,1,0,0,0,2.79,B-,0.86
HIST,396,10,8,6,2,4,4,4,0,2,0,0,2,0,0,3.27,A-,0.91
HORT,105,458,355,134,89,111,50,33,40,15,8,18,11,20,3,3.52,A,0.72
HORT,107,1,982,277,255,295,14,11,20,1,0,4,0,2,5,3.65,A,0.46
HRD,411,0,45,7,9,1,2,1,0,0,0,1,0,7,1,3.39,A,0.59
HRD,472,90,1,0,3,1,0,0,0,1,0,0,0,19,0,3.29,A+,0.65
HRE,472,17,3,1,0,0,0,0,0,0,0,0,0,1,0,3.8,A+,0.19
HRE,530,0,7,16,3,1,0,0,0,0,0,0,0,0,0,3.69,A-,0.24
IB,100,0,923,0,0,560,0,0,250,0,0,99,0,118,14,3.06,B,0.88
IB,104,29,39,33,20,33,28,14,7,9,0,3,1,5,0,3.16,B+,0.75
IB,105,330,668,557,394,388,233,133,145,91,71,47,67,156,21,3.07,B+,0.85
IB,110,1,248,0,0,13,0,0,10,0,0,0,0,5,1,3.81,A,0.43
IB,150,372,1625,806,712,995,524,372,415,186,113,105,43,129,21,3.13,B+,0.81
IB,151,188,535,245,126,157,33,29,34,9,6,5,1,10,2,3.58,A,0.57
IB,199,0,97,1,0,7,0,2,0,0,0,2,0,0,0,3.85,A,0.51
IB,203,10,34,6,6,7,0,1,0,0,0,0,0,0,0,3.77,A,0.39
IB,360,52,872,12,78,538,2,20,126,2,0,14,0,4,10,3.45,A,0.67
IE,300,91,268,302,261,310,244,206,180,114,84,74,61,98,17,2.73,B,0.9
IE,410,8,55,15,29,52,37,20,26,2,0,25,0,23,0,2.69,B,0.88
IE,525,1,18,12,5,0,0,0,0,0,0,0,0,0,0,3.8,A,0.24
IHLT,101,0,224,0,0,37,0,0,9,0,0,2,0,9,0,3.65,A,0.54
IHLT,102,26,10,5,6,1,0,1,0,0,0,1,0,1,0,3.7,A+,0.52
IHLT,375,153,166,52,13,14,9,5,2,4,1,0,3,7,0,3.73,A,0.51
IHLT,474,0,161,0,0,15,0,0,1,0,0,0,0,7,0,3.76,A,0.34
IHLT,475,0,48,0,0,3,0,0,0,0,0,1,0,0,0,3.88,A,0.47
INFO,103,17,28,16,14,8,9,7,8,2,1,7,0,7,2,3.04,B+,0.89
INFO,202,6,45,26,8,16,2,5,2,1,1,3,1,5,0,3.32,A-,0.75
INFO,490,40,842,104,63,65,39,18,29,9,4,14,4,47,5,3.56,A,0.63
IS,100,226,42,30,11,5,5,4,2,2,1,0,0,5,0,3.8,A+,0.4
IS,199,107,46,9,3,7,5,2,4,1,0,2,0,6,0,3.68,A+,0.55
IS,203,1,28,10,11,1,2,1,1,1,0,0,0,0,0,3.64,A,0.52
IS,204,95,55,40,15,4,0,2,5,2,0,0,1,6,0,3.68,A,0.49
IS,205,2,59,15,5,7,2,2,7,0,0,0,1,16,0,3.12,A,0.77
IS,308,0,27,2,1,0,0,0,0,0,0,0,0,0,0,3.96,A,0.14
IS,413,8,7,3,1,0,0,0,1,1,0,0,0,0,0,3.71,A,0.64
IS,430,152,80,21,10,6,1,5,0,1,0,2,1,5,1,3.79,A+,0.45
IS,445,0,123,2,5,0,1,0,1,0,0,0,1,1,0,3.89,A,0.37
IS,452,0,67,0,1,1,2,0,0,0,0,0,0,1,0,3.88,A,0.26
IS,455,11,53,13,8,6,4,0,1,2,1,0,0,0,0,3.69,A,0.56
IS,490,83,160,67,28,13,5,4,1,0,1,0,0,5,0,3.75,A,0.37
IS,501,90,1111,158,43,31,4,1,1,0,1,1,0,2,1,3.91,A,0.24
IS,502,8,364,298,205,111,50,9,4,1,0,3,0,1,4,3.57,A-,0.44
IS,504,49,350,34,11,13,6,0,1,0,0,0,0,2,0,3.89,A,0.26
IS,505,74,257,25,14,14,3,2,2,1,0,0,0,0,0,3.88,A,0.33
IS,506,7,58,6,1,2,0,0,0,0,0,0,0,0,0,3.94,A,0.19
IS,507,23,82,25,2,12,1,0,1,0,0,0,0,1,0,3.8,A,0.34
IS,508,1,73,2,1,2,1,0,0,0,0,0,0,1,0,3.89,A,0.23
IS,510,34,181,31,10,6,2,0,1,0,0,0,0,3,0,3.85,A,0.27
IS,515,0,21,16,7,7,0,1,0,0,0,0,0,0,0,3.64,A-,0.39
IS,517,0,27,2,0,1,0,0,0,0,0,0,0,0,0,3.94,A,0.19
IS,525,3,120,13,5,0,2,0,1,0,0,0,0,0,0,3.91,A,0.27
IS,530,0,74,5,1,2,2,0,1,0,0,0,0,0,0,3.89,A,0.34
IS,537,5,28,9,8,1,0,0,0,0,0,0,0,0,0,3.82,A,0.28
IS,542,1,18,30,10,7,4,2,7,0,0,0,0,0,0,3.41,A-,0.6
IS,543,5,151,25,9,7,5,1,1,0,0,0,0,0,0,3.85,A,0.35
IS,551,7,21,7,0,11,0,0,0,0,1,0,0,1,0,3.58,A,0.54
IS,561,1,93,67,11,6,0,0,0,0,0,0,0,0,0,3.8,A,0.25
IS,571,0,26,0,0,1,0,0,0,0,0,0,0,0,0,3.96,A,0.19
IS,580,0,4,7,4,7,1,0,0,0,0,0,0,0,0,3.42,B+,0.4
IS,581,13,112,28,10,2,0,0,0,0,0,2,0,0,0,3.86,A,0.38
IS,582,1,134,0,1,3,1,0,0,0,0,1,0,3,0,3.86,A,0.32
IS,590,177,795,225,62,55,11,9,15,2,1,3,0,2,2,3.81,A,0.4
IS,597,22,104,32,21,25,7,9,3,3,0,1,0,0,1,3.6,A,0.58
ITAL,101,0,202,0,0,142,0,0,84,0,0,22,0,9,3,3.1,B,0.89
ITAL,102,0,39,0,0,45,0,0,23,0,0,3,0,3,0,3.01,B,0.81
ITAL,103,0,42,0,0,37,0,0,12,0,0,2,0,1,0,3.24,B,0.76
JAPN,201,14,20,17,13,5,7,2,1,2,1,1,2,1,0,3.36,A-,0.79
JAPN,203,3,9,11,1,1,8,4,3,4,0,0,1,0,0,3.08,A-,0.88
JOUR,200,157,616,600,378,312,204,86,49,32,19,16,11,52,5,3.33,A-,0.64
JOUR,411,2,8,0,2,16,0,1,21,0,0,5,0,0,1,2.62,B,0.89
JOUR,460,3,52,16,3,16,3,0,1,1,0,3,0,1,0,3.55,A,0.67
KIN,100,280,924,123,51,138,18,6,35,5,2,10,1,15,9,3.73,A,0.51
KIN,101,109,144,48,33,34,9,4,5,2,1,1,0,8,2,3.64,A,0.5
KIN,102,256,540,34,20,21,10,2,5,0,2,1,0,3,2,3.9,A,0.32
KIN,103,7,93,9,3,3,0,0,2,0,0,0,0,1,1,3.86,A,0.32
KIN,104,957,9551,91,39,840,1,5,357,1,1,115,0,198,60,3.77,A,0.5
KIN,107,138,49,2,1,3,1,1,1,0,0,0,0,6,2,3.84,A+,0.27
KIN,109,76,893,47,25,64,13,4,14,4,0,5,0,5,2,3.83,A,0.43
KIN,122,2539,2232,2175,1030,907,537,294,264,185,76,93,49,335,20,3.4,A-,0.68
KIN,130,45,140,96,52,23,3,2,0,2,0,0,0,2,0,3.7,A,0.37
KIN,131,5,41,0,0,5,0,0,0,0,0,0,0,0,0,3.9,A,0.3
KIN,142,0,3562,0,0,648,0,0,272,0,0,78,0,149,9,3.57,A,0.66
KIN,199,20,100,38,13,12,15,9,5,10,4,6,5,28,4,3.02,A-,0.92
KIN,247,2,3396,178,101,424,36,32,135,16,6,53,7,91,9,3.66,A,0.6
KIN,249,4561,2705,1060,625,533,266,187,143,82,49,47,33,264,17,3.63,A,0.57
KIN,340,0,43,17,12,22,11,6,7,1,3,0,2,0,0,3.26,B+,0.78
KIN,494,10,68,0,1,16,0,0,1,0,0,1,0,0,0,3.78,A,0.5
KOR,201,31,18,4,1,6,2,2,1,1,0,0,0,0,0,3.72,A,0.56
LA,101,40,21,12,2,8,6,2,1,1,2,0,0,3,0,3.53,A,0.63
LA,314,34,65,37,15,10,9,1,2,4,2,0,1,3,1,3.56,A,0.62
LAS,100,143,42,6,5,6,2,0,2,0,2,1,1,11,0,3.67,A+,0.51
LAS,101,9634,6419,2007,903,1305,548,294,401,216,98,146,86,381,41,3.66,A,0.59
LAS,199,7,44,2,0,10,0,0,3,0,0,2,0,2,0,3.56,A,0.69
LAS,291,322,42,24,19,14,7,6,3,5,1,2,0,3,4,3.79,A+,0.48
LAS,292,63,65,9,2,13,1,0,0,2,0,8,9,0,0,3.55,A,0.98
LAS,399,125,58,20,4,6,2,0,1,0,0,2,0,0,0,3.88,A+,0.39
LAST,170,626,736,220,154,168,88,51,55,24,10,23,17,50,10,3.52,A,0.69
LAW,301,44,57,33,12,13,3,6,0,1,0,0,1,3,0,3.63,A,0.51
LAW,501,6,30,31,26,32,3,0,0,0,0,0,0,0,0,3.5,A-,0.4
LAW,601,34,93,180,333,313,121,53,10,2,3,1,0,0,2,3.23,B+,0.46
LAW,602,27,184,185,510,408,114,64,43,14,1,6,0,2,5,3.22,B+,0.51
LAW,603,11,117,94,261,265,100,59,28,1,1,0,0,0,2,3.19,B+,0.5
LAW,604,27,139,155,406,330,155,56,31,0,0,1,0,1,3,3.21,B+,0.48
LAW,605,2,12,28,43,20,2,2,1,1,0,1,0,0,0,3.36,B+,0.47
LAW,606,22,113,214,464,382,143,80,12,1,0,0,0,0,4,3.22,B+,0.44
LAW,607,31,182,174,521,376,135,51,30,11,0,1,0,1,4,3.25,B+,0.48
LAW,609,38,108,110,357,210,95,64,24,10,0,3,0,2,2,3.21,B+,0.52
LAW,610,26,78,82,248,160,73,35,22,0,0,4,0,7,3,3.19,B+,0.51
LAW,627,27,104,82,388,238,80,80,24,7,3,2,0,0,5,3.19,B+,0.51
LAW,631,3,13,11,16,16,11,9,3,0,0,0,0,0,0,3.2,B+,0.58
LAW,633,37,200,537,1056,297,94,19,3,0,0,1,0,4,2,3.39,B+,0.34
LAW,636,3,22,64,117,26,7,1,0,0,0,0,0,1,1,3.42,B+,0.31
LAW,643,3,12,11,9,8,4,0,1,0,0,0,0,0,0,3.48,A-,0.49
LAW,645,1,8,7,12,11,1,1,1,2,0,1,0,0,0,3.24,B+,0.66
LAW,653,1,35,27,49,21,10,4,4,1,1,0,0,0,1,3.37,B+,0.53
LAW,654,0,12,11,17,9,1,0,0,0,0,0,0,0,0,3.49,B+,0.37
LAW,656,1,5,14,26,12,13,4,0,0,0,0,0,1,0,3.18,B+,0.44
LAW,657,1,7,14,21,3,1,0,0,0,0,0,0,0,0,3.51,B+,0.31
LAW,680,6,49,28,40,59,15,2,2,0,0,0,0,0,0,3.39,B+,0.48
LAW,682,6,92,80,75,61,44,23,5,0,0,0,0,0,0,3.37,B+,0.53
LAW,792,74,495,470,545,451,112,27,20,7,1,0,0,2,10,3.44,B+,0.46
LAW,793,15,84,81,62,36,1,0,0,0,0,0,0,0,0,3.62,A-,0.35
LAW,794,13,59,129,197,76,26,4,0,0,1,0,0,1,1,3.41,B+,0.37
LAW,796,9,30,34,26,13,9,5,3,0,0,0,0,0,3,3.47,A-,0.52
LAW,797,8,23,28,32,13,9,1,2,0,0,0,0,0,0,3.47,A-,0.46
LAW,798,0,26,46,8,1,0,0,0,0,0,0,0,0,0,3.73,A-,0.22
LEAD,140,99,94,16,11,12,8,2,3,1,0,0,1,14,0,3.59,A,0.51
LEAD,480,0,23,4,3,1,0,0,0,0,0,0,0,0,0,3.86,A,0.27
LER,100,93,1351,729,431,835,439,224,502,241,113,196,111,830,76,2.61,B,0.95
LER,110,13,378,235,155,305,150,88,170,82,32,70,45,251,20,2.57,B,0.94
LER,120,26,275,121,59,141,56,43,90,38,11,41,13,200,17,2.54,B,0.98
LER,542,2,30,4,4,9,1,0,0,0,0,0,0,0,0,3.71,A,0.42
LER,545,9,14,5,7,8,4,1,0,0,0,0,0,0,0,3.56,A-,0.5
LER,561,0,86,19,2,4,0,0,1,1,0,0,0,2,0,3.79,A,0.36
LER,562,14,25,15,14,8,0,2,1,0,0,0,0,1,0,3.6,A-,0.45
LER,565,20,64,7,9,5,4,0,1,0,0,0,1,0,0,3.78,A,0.49
LER,566,9,25,26,24,0,0,0,0,0,0,0,0,0,0,3.71,A-,0.28
LER,590,257,1307,552,297,265,54,25,8,7,1,0,1,4,1,3.71,A,0.42
LER,591,57,562,400,120,56,21,1,1,1,0,0,0,0,1,3.75,A,0.32
LER,593,354,304,150,121,101,41,21,11,2,0,0,0,2,1,3.68,A,0.47
LER,595,1,35,12,9,4,2,1,0,0,0,0,0,0,0,3.71,A,0.4
LING,100,212,323,207,129,89,56,25,30,12,6,1,7,19,1,3.49,A-,0.63
LING,210,7,11,20,6,1,4,0,0,0,0,0,0,0,1,3.65,A-,0.38
LING,406,62,57,19,7,14,0,0,2,0,0,3,0,7,0,3.61,A,0.54
LLS,100,411,376,202,131,129,60,43,44,32,8,7,6,41,4,3.45,A,0.68
LLS,279,130,72,27,27,26,13,3,3,7,3,0,1,15,0,3.48,A,0.62
MACS,100,1263,1860,1004,614,465,185,84,88,54,25,17,18,57,18,3.6,A,0.57
MACS,101,1108,1703,903,473,353,172,95,78,39,21,24,23,104,16,3.56,A,0.59
MACS,166,9,34,21,8,4,2,0,3,0,0,0,0,2,0,3.6,A,0.47
MACS,199,3,14,9,10,12,5,6,4,0,2,1,1,1,0,3.09,B+,0.8
MACS,320,19,108,41,73,57,42,13,16,4,3,2,5,5,0,3.26,B+,0.71
MACS,326,11,37,61,34,42,31,5,15,4,2,8,2,12,2,3.02,B+,0.76
MACS,351,0,16,16,16,12,18,6,12,12,0,2,0,2,2,2.86,B,0.79
MACS,356,70,91,51,56,20,16,4,5,2,2,0,5,3,1,3.54,A-,0.63
MATH,2,3,3,4,5,8,1,5,5,2,3,2,3,4,3,2.4,B-,0.99
MATH,12,9,9,11,22,40,31,29,29,14,11,12,12,34,6,2.17,C+,0.89
MATH,103,13,137,30,25,149,19,19,56,4,3,14,0,6,2,3.1,B,0.79
MATH,112,102,322,323,283,330,249,223,194,160,94,72,51,176,24,2.67,B,0.9
MATH,115,189,691,453,640,1002,487,504,736,273,276,324,114,457,53,2.52,B-,0.91
MATH,124,158,331,365,289,270,208,161,119,96,54,46,38,74,16,2.96,B+,0.86
MATH,125,118,430,635,788,963,779,611,566,320,195,138,88,147,53,2.71,B,0.8
MATH,181,47,98,78,69,67,63,37,41,47,15,26,12,38,10,2.77,B,0.94
MATH,199,1,689,45,23,26,8,7,13,1,1,3,0,9,0,3.81,A,0.43
MATH,213,114,388,189,170,208,112,73,135,55,22,40,30,41,6,3.05,B+,0.89
MATH,220,1037,2225,1151,1053,2216,1034,850,1678,671,495,849,300,1446,227,2.56,B,0.97
MATH,221,672,1977,1505,1387,1841,1123,878,999,500,303,293,136,482,70,2.89,B,0.85
MATH,225,331,987,668,622,902,484,455,584,247,112,221,72,204,39,2.86,B,0.88
MATH,231,1833,3356,2759,2758,3286,2286,2142,2033,1429,823,721,371,999,228,2.8,B,0.9
MATH,234,175,547,530,629,772,514,490,448,309,249,237,117,173,54,2.66,B,0.91
MATH,241,1948,4740,3604,3563,4851,3105,2781,3242,1760,755,946,393,1192,228,2.82,B,0.87
MATH,257,319,966,382,252,207,131,76,65,34,35,41,0,44,9,3.45,A,0.71
MATH,285,1447,4047,1514,1503,2145,1130,823,1015,487,243,373,151,513,78,3.09,B+,0.86
MATH,286,465,1271,500,491,592,377,318,310,201,100,122,99,208,14,3.01,B+,0.91
MATH,290,18,224,64,50,32,18,10,9,10,8,3,2,10,0,3.46,A,0.7
MATH,299,241,694,706,703,724,478,418,386,232,80,103,18,71,15,2.98,B,0.8
MATH,347,326,746,407,387,417,268,223,208,106,33,56,20,74,23,3.14,B+,0.81
MATH,402,0,18,15,14,12,8,5,6,2,0,3,0,2,0,3.07,B+,0.76
MATH,412,71,65,62,60,42,50,29,30,20,11,11,6,2,3,3.1,B+,0.88
MATH,413,124,130,92,70,64,49,57,40,22,18,17,21,29,5,3.02,B+,0.94
MATH,415,1131,2948,2101,2116,2158,1470,1203,1136,626,387,450,104,384,98,3.0,B+,0.85
MATH,416,232,296,169,141,168,104,69,125,52,18,33,27,64,8,3.04,B+,0.89
MATH,417,54,125,82,82,93,48,50,72,33,18,19,10,20,2,2.92,B,0.9
MATH,441,230,350,299,234,220,153,128,138,93,38,48,28,95,22,2.98,B+,0.88
MATH,442,53,106,49,43,43,32,15,21,6,3,8,8,15,2,3.18,A-,0.84
MATH,444,148,436,116,107,219,76,53,122,34,17,35,14,26,4,3.19,B+,0.86
MATH,446,83,65,53,41,52,20,22,20,20,2,11,7,9,3,3.15,B+,0.88
MATH,447,32,22,19,22,30,8,3,10,4,2,3,1,4,1,3.19,B+,0.78
MATH,453,65,235,64,63,58,32,37,38,14,7,8,5,9,7,3.32,A-,0.81
MATH,461,167,340,239,201,278,189,130,211,102,26,109,25,128,25,2.78,B,0.92
MATH,471,74,211,116,95,136,51,60,96,24,15,34,14,40,4,2.96,B+,0.9
MATH,476,18,29,22,30,20,22,6,6,13,3,8,6,3,2,2.96,B+,0.95
MATH,478,3,12,14,3,9,10,1,8,2,2,4,2,2,0,2.84,B,0.97
MATH,482,19,45,21,11,4,9,0,4,3,3,1,2,1,1,3.46,A,0.8
MATH,490,3,2,4,4,4,4,3,0,1,0,0,0,0,0,3.17,B+,0.63
MBA,501,142,1087,916,832,823,202,34,6,1,0,0,0,0,0,3.5,A-,0.44
MBA,502,132,1375,963,656,711,161,52,16,2,0,1,0,0,0,3.56,A-,0.45
MBA,503,156,756,507,361,299,45,1,6,1,1,2,0,2,0,3.63,A-,0.41
MBA,504,226,681,285,202,137,59,18,25,5,0,1,0,0,0,3.67,A,0.48
MBA,505,63,738,634,499,344,98,15,7,1,1,0,0,0,1,3.56,A-,0.42
MBA,541,741,401,45,17,22,6,3,5,0,0,0,2,6,1,3.92,A+,0.27
MBA,542,842,152,14,20,6,0,4,0,0,2,0,0,0,0,3.97,A+,0.2
MBA,546,28,728,82,16,20,8,0,0,0,0,0,0,0,0,3.92,A,0.23
MBA,547,149,222,32,9,4,7,2,0,0,0,0,0,3,0,3.89,A,0.25
MBA,548,0,264,82,52,35,24,12,8,2,2,2,0,8,0,3.57,A,0.56
MBA,551,0,1580,422,23,68,16,7,11,1,0,2,0,14,2,3.84,A,0.31
MBA,552,660,580,324,190,110,30,18,10,0,0,4,0,4,6,3.76,A,0.4
MBA,561,698,474,184,83,58,20,14,18,5,1,12,0,18,17,3.76,A,0.47
MBA,562,803,78,8,1,5,1,3,3,1,0,1,0,5,3,3.95,A+,0.22
MBA,563,246,428,358,86,20,0,0,0,0,0,0,0,8,0,3.8,A,0.24
MBA,564,691,121,121,55,43,4,1,13,2,4,0,2,10,1,3.8,A+,0.41
MCB,101,251,519,327,274,291,108,87,72,42,17,21,2,8,3,3.38,A-,0.7
MCB,104,2,6,12,5,3,1,0,1,0,0,0,0,0,1,3.55,A-,0.45
MCB,150,646,1239,1480,1422,1282,981,752,548,448,217,127,81,118,37,3.02,B+,0.8
MCB,151,368,252,123,91,54,32,15,4,1,5,2,0,4,3,3.72,A,0.47
MCB,199,31,6,2,1,3,0,0,0,0,0,0,0,0,1,3.9,A+,0.27
MCB,244,43,80,34,50,147,35,58,47,28,12,11,9,6,2,2.9,B,0.84
MCB,245,680,645,749,874,910,787,575,489,353,223,174,130,226,48,2.83,B,0.88
MCB,247,247,322,556,643,653,571,331,315,217,91,84,56,93,13,2.86,B,0.8
MCB,250,132,184,244,266,255,259,232,212,149,110,89,53,96,14,2.62,B-,0.91
MCB,251,540,817,679,465,342,196,109,71,38,23,10,8,13,5,3.48,A-,0.62
MCB,252,433,781,608,467,376,299,210,151,75,49,33,24,21,5,3.29,A-,0.76
MCB,253,812,940,670,476,256,160,88,33,14,15,7,1,6,7,3.61,A,0.53
MCB,301,9,195,270,317,295,117,81,42,13,8,2,3,2,2,3.23,B+,0.58
MCB,316,9,24,25,15,22,10,10,11,9,1,7,0,5,0,2.94,B,0.86
MCB,317,48,384,0,65,544,0,27,226,0,9,55,0,12,3,3.04,B,0.82
MCB,334,0,383,0,0,233,0,0,67,0,0,9,0,3,2,3.42,A,0.72
MCB,354,146,157,193,178,185,169,164,118,84,71,34,27,12,2,2.88,B,0.9
MCB,405,2,36,0,8,32,0,2,8,0,1,4,0,0,0,3.23,B,0.81
MCB,408,67,57,50,19,17,9,4,2,0,1,0,0,0,0,3.68,A,0.47
MCB,428,14,104,117,97,89,35,12,4,2,1,0,0,0,0,3.42,B+,0.49
MCB,493,46,140,85,56,60,27,12,16,9,5,1,3,1,1,3.43,A-,0.69
MDIA,100,148,136,71,42,41,23,11,10,7,5,5,0,15,0,3.48,A,0.65
ME,170,143,99,19,9,8,1,2,0,0,0,1,0,1,0,3.89,A+,0.31
ME,199,329,1846,65,15,112,21,8,34,6,0,6,1,1,7,3.88,A,0.4
ME,200,59,266,147,113,140,73,21,38,11,4,8,1,14,3,3.34,A-,0.66
ME,270,0,12,7,7,0,6,0,1,1,0,0,0,0,0,3.43,A-,0.62
ME,300,137,280,282,282,332,185,125,133,49,29,41,20,64,22,2.99,B+,0.79
ME,310,90,234,233,193,212,128,95,110,48,22,20,3,23,4,3.08,B+,0.77
ME,320,61,143,153,160,180,120,70,78,34,17,18,4,19,6,3.02,B,0.76
ME,330,189,383,427,281,221,145,71,68,28,6,12,4,1,0,3.38,A-,0.65
ME,340,125,344,193,134,192,65,54,78,24,7,14,6,17,5,3.3,A-,0.74
ME,360,120,317,234,158,191,107,39,56,18,4,12,6,13,0,3.33,A-,0.69
ME,370,117,333,276,186,179,81,46,27,23,3,5,4,4,2,3.42,A-,0.62
ME,371,202,479,356,210,120,44,12,6,6,1,3,0,9,1,3.63,A-,0.44
ME,470,22,161,44,12,8,2,1,3,1,0,0,0,0,0,3.83,A,0.37
ME,481,19,16,13,5,10,6,4,1,0,1,0,0,2,0,3.42,A-,0.61
MS,101,36,196,123,47,19,14,1,4,4,1,0,0,1,1,3.7,A,0.44
MS,166,6,31,14,14,14,5,4,2,2,0,1,0,0,0,3.43,A-,0.65
MS,264,1,25,19,13,8,3,1,0,0,0,0,0,0,0,3.59,A-,0.42
MS,320,9,28,7,5,5,4,2,1,1,2,1,0,1,0,3.45,A,0.76
MS,326,2,29,24,20,29,27,17,17,18,2,4,3,5,0,2.79,B,0.84
MS,351,3,22,14,20,30,4,4,3,2,0,1,0,2,1,3.22,B+,0.6
MS,356,0,10,16,11,14,7,0,3,2,1,0,0,1,0,3.18,B+,0.62
MSE,280,9,42,17,54,47,41,24,21,8,11,3,2,3,3,2.93,B,0.77
MSE,457,2,13,4,1,15,2,3,4,1,0,0,0,0,0,3.22,B,0.7
MUS,101,8,5,6,0,1,3,0,0,0,0,1,0,0,0,3.58,A,0.7
MUS,102,20,63,61,27,36,17,15,11,10,2,4,2,11,1,3.16,A-,0.77
